619970,573968,1
859478,225717,1
1721433,1796124,1
435359,1473069,1
477487,1119706,1
636140,107209,1
673254,1149170,1
1767856,863807,1
969063,134099,1
481272,1803026,1
311675,359660,1
946589,121702,1
231448,17252,1
922321,1831966,1
994916,6633,1
285614,1216472,1
1111025,753223,1
554615,1459155,1
1586499,274243,1
877700,282605,1
437353,257682,1
1591746,1851562,1
1551880,779869,1
809532,436702,1
233129,367189,1
1430280,34432,1
468576,1529691,1
1779715,588608,1
864887,574040,1
1553964,1425220,1
293743,53096,1
1816251,1148997,1
974476,1333305,1
431129,1335273,1
1715666,1039347,1
4718,1087766,1
1793819,1744524,1
1068356,1645596,1
1836024,1532189,1
400229,1244469,1
1639448,1395438,1
174796,430631,1
1498498,233425,1
935183,1234670,1
753296,1260979,1
143105,845201,1
1290848,1599010,1
1286624,1515136,1
805707,604051,1
1552781,1585329,1
122506,264790,1
226719,1146476,1
1116279,1554385,1
911676,969952,1
21166,750374,1
1105854,1223896,1
588080,74798,1
1598787,15235,1
1268439,1664936,1
997675,1442408,1
27855,52458,1
169052,1380664,1
1749539,2193,1
1333219,349887,1
450887,802802,1
1643925,1705117,1
1626330,1250215,1
1540443,493059,1
1472347,132654,1
1531969,820723,1
1256333,1324144,1
517520,1704841,1
1788193,140858,1
26744,1116058,1
1712945,1826343,1
143691,536997,1
1411683,1248324,1
632624,1660552,1
1646577,1122784,1
1063888,230192,1
330253,99152,1
965427,1385062,1
1459048,732522,1
724338,1343237,1
831636,280973,1
1024577,384634,1
1383886,880888,1
389973,914603,1
1592267,1352407,1
780466,1412336,1
1256213,366887,1
44535,1498760,1
1434447,1784191,1
1367947,1678352,1
993588,1631835,1
475363,1484299,1
1088949,709951,1
1423686,1042823,1
475890,784199,1
578354,1432566,1
641651,312802,1
544793,271043,1
628227,289483,1
158929,1738195,1
817111,1202929,1
1579533,185528,1
911842,449582,1
63629,1351085,1
1713480,764584,1
102379,568770,1
451895,959731,1
888774,1386837,1
471762,972964,1
1500913,822138,1
355516,1596327,1
977069,1425133,1
6954,565100,1
655731,523804,1
786536,1311693,1
1736198,1719553,1
348723,414708,1
1692228,311521,1
1805084,429617,1
46481,331994,1
1672723,186419,1
330418,1325396,1
577008,1601770,1
1053629,1793962,1
1203278,1858655,1
1110939,786108,1
1454907,641264,1
887162,820129,1
603646,1416589,1
1845303,1545963,1
1005872,252841,1
1837665,1634975,1
678632,1259761,1
793009,658846,1
791897,624941,1
743249,1180990,1
481126,200978,1
689291,1683826,1
621357,142333,1
1580370,94628,1
540293,178284,1
901291,429436,1
1680463,729672,1
904249,235217,1
310445,205752,1
75445,1585034,1
298475,332620,1
404364,922027,1
180473,945747,1
1826223,1812231,1
1344195,391632,1
752292,916526,1
1131263,54596,1
1743737,471363,1
1434156,830910,1
378639,1401283,1
965942,843997,1
1852624,1839076,1
1101977,1174196,1
362294,695731,1
453901,777056,1
